AccNum,GeneName,txReads1,txRPKM1,cdReads1,cdRPKM1
NM_001003806,TARP,0.0,-,0.0,-
NM_017847,ODR4,15.0,3.43331229058,9.0,5.87964161938
NM_001143986,TLE6,0.0,-,0.0,-
NM_001143987,NBPF6,0.0,-,0.0,-
NM_001143980,CCDC154,0.0,-,0.0,-
NM_001003803,ATP5S,5.0,2.41665486614,3.0,4.12845206299
NM_001003800,BICD2,260.0,36.1368247908,180.0,62.505535907
NM_016649,ESF1,11.0,3.05012503161,10.0,3.48883272929
NM_016647,THEM6,28.0,11.0286563944,12.0,17.0669023082
NM_016644,PRR16,2.0,0.953738658402,1.0,1.05407286715
NM_017417,GALNT8,0.0,-,0.0,-
NM_016642,SPTBN5,1.0,0.0760680410821,1.0,0.0808839587851
NM_001143989,NBPF4,1.0,0.35684099464,1.0,0.465177697238
NM_016640,MRPS30,62.0,33.0671232222,55.0,37.1560685669
NM_001304464,SNRPE,26.0,14.3296580876,0.0,-
NM_003279,TNNC2,13.0,17.0230446298,9.0,16.6163784896
NM_001012980,SATL1,0.0,-,0.0,-
NM_001304467,EEF1AKMT2,36.0,8.77126864531,10.0,13.8901190904
NM_001080825,TMEM120B,29.0,3.44349184056,7.0,6.11982305808
NM_001008781,FAT3,343.0,16.0586316188,340.0,22.1729939671
NM_017419,ASIC5,0.0,-,0.0,-
NM_001040,SHBG,0.0,-,0.0,-
NM_002223,ITPR2,7.0,0.496083566657,7.0,0.770073959936
NM_001143981,CHRDL1,0.0,-,0.0,-
NM_001253384,RPL15,18.0,3.98002023826,9.0,18.3235406631
NM_001145313,FSD1L,9.0,1.03825495607,4.0,2.23916044094
NM_205859,OR2K2,0.0,-,0.0,-
NM_018476,BEX1,0.0,-,0.0,-
NM_003363,USP4,26.0,5.6275210645,24.0,7.40037880171
NM_144585,SLC22A12,0.0,-,0.0,-
NM_205856,SPACA5,0.0,-,0.0,-
NM_207118,GTF2H5,18.0,2.14419204126,8.0,33.0276165039
NM_205853,MUSTN1,0.0,-,0.0,-
NM_205852,CLEC12B,0.0,-,0.0,-
NM_001282735,SPATS2L,526.0,73.3705943358,397.0,211.104962019
NM_001355213,OR10D3,0.0,-,0.0,-
NM_001007531,NKAPL,0.0,-,0.0,-
NM_001282730,SUPT7L,74.0,13.9364683791,43.0,30.9483960945
NM_004108,FCN2,0.0,-,0.0,-
NM_004109,FDX1,15.0,4.2396781883,6.0,9.64049346601
NM_004106,FCER1G,0.0,-,0.0,-
NM_001291976,SPARCL1,0.0,-,0.0,-
NM_130759,GIMAP1,0.0,-,0.0,-
NM_181776,SLC36A2,1.0,0.260668122071,1.0,0.614149893668
NM_001462,FPR2,0.0,-,0.0,-
NM_001463,FRZB,0.0,-,0.0,-
NM_004101,F2RL2,17.0,4.42101953202,9.0,7.13396516485
NM_000331,SAA1,0.0,-,0.0,-
NM_007102,GUCA2B,0.0,-,0.0,-
NM_007101,SARDH,2.0,0.528128898789,2.0,0.646895644255
NM_007100,ATP5ME,33.0,80.6235789178,18.0,76.4353410519
NM_000334,SCN4A,0.0,-,0.0,-
NM_007105,SLC22A18AS,0.0,-,0.0,-
NM_181435,C1QTNF3,3.0,0.699225545431,2.0,1.85780342835
NM_000339,SLC12A3,0.0,-,0.0,-
NM_000486,AQP2,0.0,-,0.0,-
NM_000485,APRT,81.0,89.5060685181,53.0,87.0396302341
NM_007108,ELOB,180.0,162.135571928,150.0,374.683044372
NM_000483,APOC2,1.0,1.2232450557,1.0,2.91420145623
NM_000482,APOA4,0.0,-,0.0,-
NM_000481,AMT,0.0,-,0.0,-
NM_016643,ZNF771,6.0,3.67730163137,5.0,4.67371931659
NM_030615,KIF25,0.0,-,0.0,-
NM_001350532,SNX14,30.0,7.0179353012,25.0,7.67687367085
NM_001350531,LARP1B,7.0,1.44095556769,2.0,0.936215900899
NM_001350530,MIER1,68.0,10.7097675558,39.0,19.2250305023
NM_001320272,PLD5,0.0,-,0.0,-
NM_030613,ZFP2,0.0,-,0.0,-
NM_014177,TIMM21,29.0,16.8582944736,19.0,22.6816161533
NM_020992,PDLIM1,4.0,2.25758391293,2.0,1.80150635476
NM_005802,TOPORS,21.0,4.48757693691,19.0,5.39935222005
NM_005258,GCHFR,0.0,-,0.0,-
NM_001012964,KLK6,0.0,-,0.0,-
NM_003824,FADD,28.0,13.4748397609,15.0,21.3336278853
NM_003825,SNAP23,41.0,13.8438362249,19.0,26.6402001046
NM_003826,NAPG,45.0,10.8017642133,25.0,23.7418968479
NM_003827,NAPA,102.0,48.9021805655,62.0,62.2615203013
NM_003820,TNFRSF14,2.0,0.509423390806,2.0,2.09329963757
NM_003821,RIPK2,19.0,6.55441673753,17.0,9.34052740314
NM_003795,SNX3,85.0,43.0672612935,30.0,54.7083218163
NM_003823,TNFRSF6B,7.0,5.40451906428,6.0,5.92522023658
NM_012181,FKBP8,207.0,102.836405928,175.0,125.648541048
NM_012180,FBXO8,25.0,8.69826029659,11.0,10.2179188559
NM_012183,FOXD3,0.0,-,0.0,-
NM_012182,FOXB1,0.0,-,0.0,-
NM_001018088,VPS13C,17.0,1.03861852393,17.0,1.3924566892
NM_020437,ASPHD2,19.0,5.11414647344,9.0,7.23037009951
NM_012186,FOXE3,0.0,-,0.0,-
NM_020733,HEG1,33.0,3.21402427971,24.0,5.16205872999
NM_020731,AHRR,25.0,3.93880585515,9.0,3.71560685669
NM_020737,LRFN2,0.0,-,0.0,-
NM_001025780,ABHD17B,14.0,4.00527399374,5.0,5.14270845217
NM_001300829,CIRBP,253.0,127.176802896,131.0,130.669663953
NM_002224,ITPR3,127.0,12.5403274269,119.0,13.2382399984
NM_175856,CHSY3,10.0,2.55368168845,8.0,2.69307858243
NM_001688,ATP5PB,156.0,66.2124325152,100.0,115.660913827
NM_014171,CRIPT,19.0,2.66150915277,4.0,11.6568058249
NM_001199973,RPL36A-HNRNPH2,0.0,-,0.0,-
NM_001867,COX7C,67.0,146.798423232,18.0,83.6011542756
NM_144646,JCHAIN,0.0,-,0.0,-
NM_144647,CAPSL,0.0,-,0.0,-
NM_144644,SPATA4,0.0,-,0.0,-
NM_144645,C4orf36,1.0,0.982098728641,0.0,-
NM_144642,SYNPR,0.0,-,0.0,-
NM_144643,SCLT1,18.0,5.25414783008,11.0,4.74562269069
NM_001161546,PROB1,28.0,7.68036852567,28.0,8.19188913286
NM_144641,PPM1M,16.0,6.49427871174,11.0,7.10811746498
NM_133447,AGAP11,0.0,-,0.0,-
NM_001008783,SLC35D3,0.0,-,0.0,-
NM_000159,GCDH,40.0,18.9430832842,30.0,20.3131126562
NM_000158,GBE1,37.0,10.646850238,29.0,12.2620311629
NM_144648,LRGUK,1.0,0.286734934278,1.0,0.359865070866
NM_144649,TMEM71,0.0,-,0.0,-
NM_021020,LZTS1,196.0,32.0172461144,83.0,41.3260126104
NM_021021,SNTB1,190.0,34.0566176211,110.0,60.6629690888
NM_021023,CFHR3,1.0,0.543747344882,1.0,0.898031868687
NM_001347869,ZNF174,6.0,1.88729237165,5.0,5.94497097071
NM_021025,TLX3,0.0,-,0.0,-
NM_021026,RFPL1,0.0,-,0.0,-
NM_021027,UGT1A9,0.0,-,0.0,-
NM_015225,PRUNE2,26.0,1.84230328055,16.0,1.53964932877
NM_175068,KRT73,0.0,-,0.0,-
NM_001143679,GSTK1,21.0,15.2745991499,19.0,19.9566163328
NM_152694,RTL3,0.0,-,0.0,-
NM_173536,GABRG1,0.0,-,0.0,-
NM_173537,GTF2IRD2,0.0,-,0.0,-
NM_173535,CLEC4F,0.0,-,0.0,-
NM_001297658,TSSC4,28.0,12.209720331,20.0,18.0150635476
NM_001286495,FAM214A,7.0,1.47605096222,6.0,1.64528716901
NM_023009,MARCKSL1,176.0,100.478382603,104.0,157.723719631
NM_173531,ZNF100,13.0,2.59344371205,5.0,2.73709529038
NM_001286499,PIF1,16.0,5.25909706218,9.0,4.54199819494
NM_001297656,KIF2C,156.0,46.4017080435,128.0,56.6187711496
NM_001297650,CD163L1,1.0,0.19197968689,1.0,0.203038626049
NM_173538,CNBD1,0.0,-,0.0,-
NM_006885,ZFHX3,40.0,2.22075867415,33.0,2.64827270563
NM_001001952,OR5D18,0.0,-,0.0,-
NM_001001953,OR10G9,0.0,-,0.0,-
NM_002226,JAG2,160.0,24.4523227587,133.0,31.9080362835
NM_001001957,OR2W3,0.0,-,0.0,-
NM_001001954,OR5A2,0.0,-,0.0,-
NM_001001955,OR4C13,0.0,-,0.0,-
NM_001282864,SLC2A11,8.0,2.18565109217,7.0,3.88197731296
NM_001001958,OR7G3,0.0,-,0.0,-
NM_001001959,OR11L1,0.0,-,0.0,-
NM_152695,ZNF449,8.0,1.75756717538,5.0,2.86366617086
NM_015259,ICOSLG,5.0,1.3499025819,4.0,3.92407324799
NM_001282862,RASGEF1A,0.0,-,0.0,-
NM_001170700,DTHD1,0.0,-,0.0,-
NM_001319119,DNPEP,123.0,27.0826455332,102.0,64.2359151496
NM_001193653,C17orf62,62.0,22.8369392927,20.0,31.6221860144
NM_012184,FOXD4L1,0.0,-,0.0,-
NM_006272,S100B,0.0,-,0.0,-
NM_182976,ZNF326,25.0,2.28863988709,13.0,6.62818375808
NM_006270,RRAS,19.0,17.1837396212,12.0,16.2875917006
NM_006271,S100A1,0.0,-,0.0,-
NM_003356,UCP3,0.0,-,0.0,-
NM_003357,SCGB1A1,0.0,-,0.0,-
NM_006274,CCL19,0.0,-,0.0,-
NM_003355,UCP2,20.0,10.8353055359,9.0,8.62979657038
NM_001002030,ECHDC1,21.0,8.00626701912,9.0,8.85840045304
NM_001170704,MBNL3,12.0,0.927935115095,1.0,1.14767779357
NM_003358,UGCG,447.0,99.3545123594,206.0,155.020762021
NM_003359,UGDH,46.0,12.8389044438,34.0,20.4170720206
NM_001002034,FAM109B,0.0,-,0.0,-
NM_001145006,MUC7,0.0,-,0.0,-
NM_001002036,ASTL,0.0,-,0.0,-
NM_001042507,LGALS7B,0.0,-,0.0,-
NM_001324080,FAM177B,0.0,-,0.0,-
NM_004813,PEX16,27.0,12.6190421548,22.0,19.404949756
