GeneName,cdRPKM0,cdRPKM1,cdRPKM2
ODR4,8.53982524016,5.879641619380001,5.99004266495
ATP5S,13.8376797873,4.12845206299,6.88249851655
BICD2,39.4567860103,62.505535906999995,84.5196546798
ESF1,2.10488650286,3.4888327292900003,2.9080979647400005
THEM6,10.0107999227,17.0669023082,9.48401709457
PRR16,3.17972216389,1.05407286715,2.6358504956999997
MRPS30,27.172171218699997,37.156068566900004,34.3499244144
TNNC2,35.273191209400004,16.6163784896,21.545212747399997
EEF1AKMT2,6.98350194873,13.890119090399999,9.26242791012
TMEM120B,5.27459794245,6.119823058080001,5.10114595932
FAT3,29.836927808200002,22.172993967100002,17.721150195299998
ITPR2,0.221238995859,0.7700739599359999,0.550192331449
RPL15,10.2360918975,18.3235406631,37.3351974322
FSD1L,6.1917753624500005,2.23916044094,3.2662704824299995
USP4,4.34078253909,7.40037880171,7.196637452989999
GTF2H5,24.9078236171,33.0276165039,20.647495549600002
SPATS2L,188.746942473,211.10496201900003,221.17567683599998
SUPT7L,19.5402780919,30.948396094499998,18.5977441755
FDX1,3.2312852260100002,9.640493466010001,18.7501581208
F2RL2,3.18820142299,7.13396516485,2.64287943035
SARDH,0.650476351264,0.646895644255,2.6960821174699996
ATP5ME,140.907116463,76.4353410519,67.2518426474
APRT,51.1917700861,87.0396302341,101.29821021
ELOB,283.82360357,374.683044372,285.247753644
ZNF771,9.39917872345,4.673719316590001,15.583015509200001
SNX14,10.49833888,7.67687367085,5.8870958385300005
MIER1,18.835767113499998,19.2250305023,21.366562558800002
TIMM21,16.805278585099998,22.6816161533,22.8863806092
PDLIM1,2.7172171218700005,1.8015063547599999,3.7540900999300004
TOPORS,12.8587234735,5.39935222005,7.81683387921
FADD,24.3119426694,21.3336278853,22.5245405996
SNAP23,28.1975361703,26.6402001046,23.3745232637
NAPG,21.9634483014,23.741896847899998,15.8319454694
NAPA,49.4790550232,62.2615203013,75.3354567352
TNFRSF14,5.2622162571399995,2.09329963757,0.872429389421
RIPK2,7.1822929469000005,9.34052740314,9.159702277100001
SNX3,78.84930666529999,54.7083218163,62.3225019044
TNFRSF6B,2.9790088047099994,5.9252202365799995,8.23155968756
FKBP8,90.9677036452,125.648541048,120.892582638
FBXO8,14.9446941703,10.2179188559,8.517091914229999
VPS13C,1.64725204412,1.3924566891999999,1.7068748043200002
ASPHD2,8.07821306502,7.230370099510001,2.67859401725
HEG1,4.32552653264,5.16205872999,7.17134432983
AHRR,2.9059127553299997,3.7156068566900005,7.22662344237
ABHD17B,13.445053578800001,5.142708452169999,6.858683642790001
CIRBP,130.389949137,130.669663953,136.356614905
ITPR3,8.05402679836,13.2382399984,14.7437954748
CHSY3,5.07747253804,2.6930785824299996,3.3672019922400005
ATP5PB,134.909301459,115.660913827,66.5218922767
CRIPT,32.2336540928,11.6568058249,12.1455856174
COX7C,144.776724775,83.60115427560001,58.0710812334
SCLT1,6.507123731619999,4.74562269069,7.5517690544399985
PROB1,10.0023543659,8.19188913286,12.9250070567
PPM1M,3.24884655876,7.10811746498,5.38630318686
GCDH,17.0212917657,20.313112656199998,22.011453114400002
GBE1,13.1802423692,12.2620311629,9.51605769286
LZTS1,31.541565585500003,41.3260126104,50.218029377
SNTB1,44.9172626268,60.662969088800004,73.08983582319999
ZNF174,4.78230213449,5.94497097071,0.991079786383
PRUNE2,1.25788944133,1.53964932877,2.16568098352
GSTK1,20.067080511300002,19.9566163328,23.6388288271
TSSC4,30.7951273812,18.0150635476,21.0229045596
FAM214A,1.37866182383,1.64528716901,0.228570061435
MARCKSL1,175.371411182,157.723719631,188.355724708
ZNF100,1.1008982814200001,2.7370952903799997,6.3881754186699995
PIF1,3.5522193274,4.541998194940001,6.30993072824
KIF2C,56.04260313859999,56.6187711496,52.7248547071
ZFHX3,3.7119650746900006,2.6482727056299997,5.21761766589
JAG2,11.5794240545,31.9080362835,29.9963615733
SLC2A11,2.2305513687,3.88197731296,8.78288989798
ZNF449,2.3036137449400003,2.8636661708599997,1.4321962231
ICOSLG,1.9728969201700002,3.9240732479900005,2.45316778808
DNPEP,44.960732461400006,64.2359151496,52.4936327533
C17orf62,49.285693540299995,31.6221860144,26.358504956999997
ZNF326,8.715602089019999,6.6281837580800005,6.79986131309
RRAS,12.2833102769,16.2875917006,26.0215012406
UCP2,8.67756435694,8.62979657038,16.7844157371
ECHDC1,19.794296914300002,8.85840045304,11.4860240144
MBNL3,6.92418262716,1.14767779357,5.73984432268
UGCG,167.985929408,155.020762021,208.25220827799998
UGDH,22.9453890291,20.4170720206,21.5234499063
PEX16,7.9823292304199995,19.404949756,12.498780688800002
SNRNP40,123.56506911700001,133.67881652,106.582602726
ARHGAP29,1.4210485740399998,2.35537677128,2.35597413562
C5orf15,31.4625140427,24.5844664202,24.2181150808
TJP2,14.555705489100001,12.978106233299998,12.8981836179
DDX23,33.8576506172,54.670561301899994,43.4578225454
XAB2,10.126077825700001,28.1274911581,37.6286133849
SDR39U1,5.083229309619999,11.121544333,16.0123434875
DDX58,3.55057528884,4.17303577857,3.4784117772600003
MRPS22,33.1184358344,38.6999495323,30.885450406700002
TMEM198,10.763491646199999,11.5276445415,13.7268668474
NELFA,16.6052157448,32.4771562289,44.5068237403
PCDH10,4.593950177219999,8.85178194486,5.474263949759999
ISG20L2,18.5753260874,14.274647811,13.2983869642
WDR75,37.020754789499996,29.841118953400002,32.9498494821
TMEM50A,26.484268149899997,24.4571590567,36.067777036100004
CASK,5.83523850467,9.02707088827,9.40558365602
AKR7A2,29.8893883406,47.064353518100006,45.4244902092
YARS,49.156460976000005,71.9240344282,56.6732770096
PDXK,28.647976045300002,30.3896279653,41.163058220399996
MADD,10.519323566499999,13.7080641315,12.1780131519
MKNK1,7.696838199289999,8.9302139045,11.165598451700001
KHSRP,61.709832669399994,127.33259452700001,185.131476951
PDLIM4,68.6282028363,70.0464857576,74.1064190724
SLC35A1,1.7686028603900001,3.5177343021900005,4.39828307566
IFI44,12.090089665799999,14.027459593800002,16.7035919053
SURF1,16.8810498933,23.7008809463,24.6946790627
STOML1,9.84012784875,4.8929802227999994,6.11777645915
AGPAT1,37.8879570514,48.1458916642,37.5144637451
SMARCA4,48.606529583000004,102.08900392700001,98.1758344217
MAD2L2,59.21482595770001,96.7459898535,57.2675819962
CBX5,62.2695590429,49.5414247559,36.1331172119
COPA,68.0625455729,49.3808366692,53.0075088341
AMPD2,32.9462576027,51.005148669099995,35.194594686900004
RARS,28.487616724000002,27.881104401199998,20.9910998629
RAP2B,42.2350052638,25.847699872600003,29.6246675277
RALB,28.878636077800003,20.1037665676,29.9239065937
TSR2,40.0579431368,27.5797622352,30.6519521562
MBOAT7,17.0615958815,25.137297973400003,24.619846701900002
PPDPF,28.5898497171,67.2040196689,73.2537233413
NRSN2,7.290094717210001,21.749893795300004,26.5899454883
UBL5,113.09498291,132.556785158,100.44727564700001
RETREG2,43.954982853800004,51.9092134391,44.1795676834
C6orf106,36.9868685151,49.7071151397,34.803805207399996
FKBP4,50.0322370049,73.665944637,58.1720744181
PHF23,19.2357449717,20.601384552,22.0785100927
WIPF1,10.0817381307,15.924029385799999,12.2901759224
UNC80,0.825420359206,2.82746394741,2.28079116228
ACSS1,4.76497495284,7.754309961789999,3.9499556703699996
XRCC6,158.756751186,173.96349479900002,105.20068224299999
TMEM185A,1.7030990507400001,8.468619616389999,4.23538370249
FASN,54.1388204417,119.15974855700001,127.73172008
ZFYVE19,10.1319960477,11.3357497323,13.123408188299999
TUBA1C,72.7428487325,56.584663456099996,30.4488368106
GRN,51.325212302,84.5707149873,74.2475597543
GRB2,74.0379344216,85.9021034758,78.4225977757
GPC1,81.8081648677,178.668179442,178.62484522
GOT2,26.352592968499998,47.5873546379,34.492335953
FAM118A,3.3395964626300003,15.7757609558,12.4577068121
GRIK5,5.48429143864,3.3330622159900005,8.58733759863
OARD1,5.860664380499999,5.82840291246,9.71646849395
ELP4,2.78818921087,2.21827275026,5.54708835662
CCDC22,6.18729376477,5.67990857074,5.91807197283
ZBTB43,17.8825400328,12.7029294246,19.588649624000002
IKBKE,3.7518060678500005,1.6582903684,2.76451823259
DHX38,19.2285153005,28.5629712762,35.107468003
VCL,89.799836336,114.44723851100001,92.5589932657
TTC9,10.7226505258,17.3283907218,12.2218359307
NUP133,22.7335019358,15.414790762400001,17.3460377478
POFUT1,44.5651548523,37.4426192242,47.1336145195
SUZ12,5.25083849226,3.6151850497500004,6.0268365388100005
NUP188,37.4044345519,53.844451363299996,49.270823665900004
NDUFS1,104.69497289600001,115.55129015899999,98.6995666384
TAF7,51.238951441000005,30.5741364208,28.3165653252
AGK,18.371728058,19.6760268534,11.1291465374
ELL,17.7798612315,29.151384985,23.9006379353
ATXN7,2.67766076959,1.99719069565,10.2659440359
JUNB,29.202275964899997,24.7707123779,52.686712781800004
JUN,63.9200774753,176.37940982400002,947.0483802110001
FNIP1,6.14691791066,3.31125204024,8.28022957775
ERCC6L,4.76958324584,1.5811093007199999,3.07515891165
TNRC18,6.342308741849999,8.409861258660001,9.346660161239999
ITPKB,2.8405965688,3.45272865247,2.3547302210799996
OVGP1,0.880394354656,0.43777400373400005,0.364904192335
OSBP,14.796726901300001,8.46128294098,16.5588825695
TYMP,1.8564837478599998,1.23084285108,0.5129812558919999
SMARCB1,59.0220833054,93.31346840100001,79.66274232319999
MARK2,10.607134011900001,14.6928940341,18.5277906833
SLC35D2,9.72731573214,10.5532029066,10.2626605099
NOMO3,0.733182052508,0.972194762176,0.20259194325100002
SRSF5,63.5012646063,64.2405288043,78.95965331069999
NOP14,15.676252626199998,14.897071779700001,24.257197568800002
SOX13,0.959530925861,1.4313734279399999,3.1816365533999997
FARSB,51.673179843,53.403976516499995,40.315109954499995
DYNC2LI1,9.56460426898,8.71929075704,5.28575886071
