Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	41	3.7962962962962963	1.733652669293532E-10	FIP1L1, POLR2F, SNRPD1, SNU13, SART3, SF3B4, POLR2B, SF3B3, SF3B2, CTNNBL1, PRPF19, HNRNPL, HNRNPM, SF3B1, HNRNPK, DDX23, DHX38, PCBP1, CLP1, DHX16, SRRM1, LSM2, DHX9, MAGOH, EFTUD2, SF1, SNW1, CASC3, HNRNPR, RBMX, PRPF4, SF3A3, HNRNPH3, SRSF4, GTF2F1, SNRNP200, GPATCH1, SNRPA, PHF5A, SNRNP25, PDCD7	985	208	15647	3.1312329168293633	5.629170424237273E-7	5.629170424237273E-7	3.1492467522653556E-7
GOTERM_BP_DIRECT	GO:0016032~viral process	46	4.2592592592592595	7.48003783145622E-9	PACS1, CRTC2, TLN1, FKBP8, NUP98, NUP160, COPS6, BTRC, CCNT1, VIM, POLA1, CALCOCO2, NUP93, TBP, NUP188, PSMA7, KARS, SF3B2, RTN3, ATP6V0C, GTF2E1, ANKRD17, PSMB7, PSMB6, HNRNPK, NUP37, ERCC2, NUP133, SLC25A5, MPDZ, RBL1, SNW1, DCAF1, YWHAE, SRPK1, WDR48, MAPK1, EIF4E, HDAC1, CUL4A, PSMC3, NUP205, IPO5, KDM4A, BIN1, DYNC1I2	985	283	15647	2.5820595146275402	2.4287387920929326E-5	1.2143767695982355E-5	1.3587771330314524E-5
GOTERM_BP_DIRECT	GO:0031145~anaphase-promoting complex-dependent catabolic process	19	1.7592592592592593	1.4401465846573992E-6	ANAPC15, SKP2, AURKA, AURKB, UBE2C, PSMA7, PSMB7, PSMC5, PSMB6, PSMA6, PSMC3, PSMD1, UBC, BUB1B, UBB, PSMD6, UBE2D1, PSMD7, UBA52	985	79	15647	3.8205101844117464	0.004665243116459217	0.0015575056031121859	0.002616048521908443
GOTERM_BP_DIRECT	GO:0060071~Wnt signaling pathway, planar cell polarity pathway	20	1.8518518518518516	3.008577916203268E-6	DVL2, MED12, PSMA7, PSMB7, AP2B1, AP2A2, PSMC5, PSMB6, PSMA6, ARRB2, AP2A1, PSMC3, PSMD1, UBC, UBB, SMURF1, PSMD6, PSMD7, UBA52, AP2M1	985	91	15647	3.491270151168628	0.009721306802522367	0.0024392370121221196	0.0054650547014700734
GOTERM_BP_DIRECT	GO:0000715~nucleotide-excision repair, DNA damage recognition	10	0.9259259259259258	3.4990990377735498E-6	GPS1, CUL4A, COPS6, UBC, DDB2, COPS7B, COPS8, UBB, PARP1, UBA52	985	22	15647	7.220581449007844	0.011297295283049125	0.0022697391284590696	0.0063560551441854685
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	29	2.685185185185185	5.61398876823644E-6	BTRC, PPIL2, PSMA7, PRPF19, ARIH1, PSMB7, PSMB6, C18ORF25, PSMD1, PSMD6, UBE2D1, PSMD7, UNKL, RNF31, LRSAM1, SKP2, CBLB, PSMC5, PSMA6, HUWE1, PSMC3, TRIM32, DDB2, UBC, SMURF1, UBB, CHFR, RNF20, UBA52	985	177	15647	2.602672861280794	0.018063535377757955	0.0030335017238882767	0.010197532028177747
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	26	2.4074074074074074	1.109199732148525E-5	SNRPD1, WTAP, SF3B4, SF3B3, SF3B2, DDX23, PPP2CA, SRRM1, DHX16, ACIN1, RBM28, EFTUD2, MBNL2, PRPF4, TTF2, SRPK1, SF3A3, HNRNPH3, SRSF4, SFPQ, ZRANB2, KHSRP, SNRNP25, PDCD7, PRPF38A, THOC1	985	154	15647	2.681930252488628	0.03537505869086721	0.005131917207477188	0.020147115500845914
GOTERM_BP_DIRECT	GO:0075733~intracellular transport of virus	14	1.2962962962962963	1.1265872656648245E-5	NUP133, NUP98, NUP160, VPS37B, NUP93, NUP188, NUP205, UBC, NUP37, UBB, KPNA4, KPNA2, KPNB1, UBA52	985	51	15647	4.360664875087091	0.03591951247342384	0.004562123576611232	0.020462906034146577
GOTERM_BP_DIRECT	GO:0006396~RNA processing	19	1.7592592592592593	1.4138634037544817E-5	DHX9, PNPT1, SNRPD1, SART3, PRPF4, HNRNPL, SFSWAP, HNRNPH3, HNRNPK, DKC1, DHX33, DHX30, DDX54, TRUB2, XRN2, THOC1, ADAR, MRPL44, RBMS1	985	92	15647	3.280655484440521	0.04487061811310844	0.005087953322000294	0.02568024825476689
GOTERM_BP_DIRECT	GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	17	1.574074074074074	1.6058036826424357E-5	BTRC, ANAPC15, UBE2C, PSMA7, PSMB7, PSMC5, PSMB6, PSMA6, PSMC3, PSMD1, UBC, BUB1B, UBB, PSMD6, UBE2D1, PSMD7, UBA52	985	76	15647	3.5532861341170183	0.05080485020607073	0.005200516667924093	0.02916601264788543
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	27	2.5	1.786931947951927E-5	WTAP, SF3B4, SF3B3, SF3B2, HNRNPL, SRRM1, ACIN1, RBM28, WDR33, ZC3H14, EFTUD2, MBNL2, CASC3, HNRNPR, SRPK1, TTF2, SF3A3, SRSF4, SFPQ, ZRANB2, KHSRP, CPSF6, GPATCH1, CELF1, XRN2, ADAR, PRPF38A	985	168	15647	2.5529912980420595	0.05637100018965768	0.0052608583002304865	0.032455318287061274
GOTERM_BP_DIRECT	GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	16	1.4814814814814816	2.8110444423258045E-5	ANAPC15, UBE2C, PSMA7, PSMB7, PSMC5, PSMB6, PSMA6, PSMC3, PSMD1, UBC, BUB1B, UBB, PSMD6, UBE2D1, PSMD7, UBA52	985	71	15647	3.579781225423608	0.08723415224518405	0.007577469781400503	0.051051369848875705
GOTERM_BP_DIRECT	GO:0038061~NIK/NF-kappaB signaling	15	1.3888888888888888	3.4255405928842463E-5	BTRC, NFKB2, PSMA7, PSMB7, PSMC5, PSMB6, PSMA6, PSMC3, UBA3, PSMD1, UBC, UBB, PSMD6, PSMD7, UBA52	985	64	15647	3.72311230964467	0.10526635483064561	0.008519593743431364	0.06220795190376993
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	19	1.7592592592592593	5.255457306233126E-5	ZC3H14, PSMA7, PARN, PSMB7, PSMC5, PSMB6, PSMA6, PCBP4, PSMC3, DCP1A, PSMD1, PUM1, UBC, KHSRP, UBB, PUM2, PSMD6, PSMD7, UBA52	985	101	15647	2.988319847213148	0.1568826984970162	0.012115239646026121	0.09542432467571915
GOTERM_BP_DIRECT	GO:0000375~RNA splicing, via transesterification reactions	9	0.8333333333333334	7.064230982900623E-5	SF3B1, SRSF4, DDX23, KHSRP, SRRM1, PRPF4, SF3B4, SF3B3, SF3A3	985	24	15647	5.956979695431472	0.20497656136825249	0.015175912845186379	0.12824665975286198
GOTERM_BP_DIRECT	GO:0010467~gene expression	12	1.1111111111111112	1.0002498792566524E-4	HNRNPL, FMN1, HNRNPM, POLR2F, HNRNPK, PCBP1, GTF2F1, IGF2BP2, WTAP, HNRNPR, RBMX, POLR2B	985	46	15647	4.1439858750827625	0.27732623302756954	0.02009518173085445	0.1815432801479
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	30	2.7777777777777777	1.2468221795183235E-4	SNX9, RAB3GAP2, SEC24A, RABGAP1, SNX5, TIMM17A, SNX17, SNX1, EIF2D, TBC1D15, AP2B1, TBC1D13, SEC23IP, KPNB1, NSF, AP3B1, AP2M1, STX6, SEC23A, SYNRG, STX4, TBC1D2B, SNX27, CDK5, AP2A2, AP2A1, ARCN1, IPO5, XPO7, SEC23B	985	220	15647	2.1661744347023535	0.3329354106577743	0.02353443048701953	0.2262477686228226
GOTERM_BP_DIRECT	GO:0006283~transcription-coupled nucleotide-excision repair	15	1.3888888888888888	1.3368220930806755E-4	GPS1, POLR2F, COPS6, LIG1, COPS7B, COPS8, POLR2B, PRPF19, UVSSA, CUL4A, RFC2, UBC, UBB, UBA52, ERCC2	985	72	15647	3.309433164128596	0.3521493902186178	0.023827920555607673	0.24256037900063365
GOTERM_BP_DIRECT	GO:0051301~cell division	40	3.7037037037037033	2.0283508083236376E-4	MAD1L1, KIFC1, GNAI3, BORA, CCNT1, ANAPC15, NEDD9, CDC73, AURKA, ZNF207, KIF2C, TUBB, NUMA1, NCAPH, RAD21, NCAPG2, CCDC124, KATNA1, CABLES2, NUP37, CLASP1, CLASP2, TUBA1A, NUDC, CDCA3, LIG1, CCNF, ARPP19, KIF18B, KNSTRN, UBE2C, CDK5, NCAPD3, ZWINT, DIS3L2, BUB1B, NEK9, CDCA7L, HAUS8, CHFR	985	340	15647	1.8688563750373244	0.4824619917505678	0.034072948549856985	0.36781687597948753
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	33	3.0555555555555554	2.9635362426432357E-4	SNX9, SNX5, VAPB, CHMP4B, SNX1, EPS15L1, CAPZB, GPRC5A, IQGAP1, PDXDC1, PSMB6, HNRNPK, PCBP1, HSPA5, FAM129B, RPL7A, AHNAK, NUDC, GOLGA2, FLRT3, TWF2, SWAP70, PFKP, PI4KA, TRIM25, EEF2, STAT1, YWHAE, FNBP1L, RARS, UBAP2, GIGYF2, PAICS	985	265	15647	1.9781668422564889	0.6180260364002372	0.04698071700569306	0.5369705076977982
GOTERM_BP_DIRECT	GO:0006406~mRNA export from nucleus	17	1.574074074074074	3.008940174494044E-4	NUP133, FIP1L1, NUP98, SMG6, NUP160, MAGOH, NUP93, NUP188, CASC3, SLBP, SRSF4, EIF4E, DHX38, NUP205, SRRM1, NUP37, THOC1	985	96	15647	2.8130181895093065	0.6236176979265591	0.045464980078287365	0.5451761277780576
GOTERM_BP_DIRECT	GO:1900034~regulation of cellular response to heat	14	1.2962962962962963	4.267661477296836E-4	NUP133, NUP98, NUP160, CAMK2G, FKBP4, NUP93, NUP188, YWHAE, BAG4, MAPK1, NUP205, DNAJC7, CAMK2D, NUP37	985	71	15647	3.1323085722456567	0.7499277624911556	0.06105675903320751	0.7724038637701325
GOTERM_BP_DIRECT	GO:0019083~viral transcription	18	1.6666666666666667	4.4337186705487134E-4	RPSA, NUP133, NUP98, NUP160, RPL13, RPLP2, NUP93, NUP188, RPS6, RPL18A, RPL13A, NUP205, RPLP0, RPS13, NUP37, RPL11, RPL7A, UBA52	985	109	15647	2.6232571135845015	0.7630598477929849	0.06068690551503442	0.8023442975135797
GOTERM_BP_DIRECT	GO:0006418~tRNA aminoacylation for protein translation	10	0.9259259259259258	4.605442209515376E-4	TARS, CARS, YARS, NARS, AIMP2, RARS, HARS2, LARS, DARS2, KARS	985	38	15647	4.180336628372962	0.7759153814620217	0.060419845254030324	0.8332974055792697
GOTERM_BP_DIRECT	GO:0032057~negative regulation of translational initiation in response to stress	5	0.4629629629629629	4.666551438548107E-4	EIF2S1, EIF2AK3, EIF2B3, EIF2B4, EIF2B5	985	7	15647	11.34662799129804	0.7803199055208533	0.05882230066650951	0.8443101208540749
GOTERM_BP_DIRECT	GO:0006368~transcription elongation from RNA polymerase II promoter	15	1.3888888888888888	5.47655588460146E-4	ELP3, POLR2F, CCNT1, TBP, CDC73, POLR2B, GTF2E1, ADRM1, TAF13, TAF12, GTF2F1, NELFB, PAF1, NELFE, ERCC2	985	82	15647	2.9058437538690107	0.8311466689515371	0.06612482237152806	0.9901748144404254
GOTERM_BP_DIRECT	GO:0005978~glycogen biosynthetic process	8	0.7407407407407408	6.717551174070045E-4	PGM2, PPP1R3C, GBE1, ACADM, UBC, GYG1, UBB, UBA52	985	25	15647	5.083289340101524	0.8871755047326928	0.0776328449221626	1.2132586171950677
GOTERM_BP_DIRECT	GO:0016925~protein sumoylation	18	1.6666666666666667	6.786175520324022E-4	NUP133, NUP98, NUP160, NUP93, NUP188, AURKB, SUMO2, RAD21, HNRNPK, SENP1, PIAS4, UBA2, SP3, NSMCE1, NUP205, NUP37, PIAS1, PARP1	985	113	15647	2.530398454696555	0.8896633560333256	0.07570326195008081	1.2255807982457068
