	AccNum	GeneName	TE0	TE1	TE2	TE3	TE4
0	NM_017847	ODR4	2.493217881721044	2.368537969216483	2.669689542847175	3.288575424501769	3.380688881644416
1	NM_001003803	ATP5S	3.7439868079271688	3.780550989316779	5.281752349091658	6.455525015390439	5.224700998900716
2	NM_001003800	BICD2	0.8631880467850715	0.7977153853006318	0.7608064325552357	0.9706345809230773	1.1515370265005829
3	NM_016647	THEM6	1.0408120189352479	1.1582410948336848	1.2894418880391494	1.6408692346733453	1.4736336150742095
4	NM_016640	MRPS30	1.4771120066704335	1.4701270153671353	1.204734026782867	1.3006890274869585	1.779366730232136
5	NM_003279	TNNC2	3.4804399782621402	1.7720172954797895	1.7290243498720306	2.5064277559643355	3.22606277893453
6	NM_001080825	TMEM120B	1.1845746374778598	1.4120130201050447	1.7367992777687458	1.3998665658355367	1.9270593427863048
7	NM_001008781	FAT3	0.41699362698921605	0.38315949129734406	0.7381453562804787	1.1324308802711465	1.2924387681624265
8	NM_001253384	RPL15	1.5951232684142855	1.4501252872692976	0.8951497404569629	0.9332443772234399	1.6495898676158558
9	NM_003363	USP4	4.32703348648681	4.010098937972541	3.734935123973516	4.993463420960263	4.528727695101559
10	NM_207118	GTF2H5	6.3298542397415325	5.329210430727014	5.857750291405016	3.199695007624779	4.841939020948375
11	NM_001282735	SPATS2L	1.0218025462095628	1.07471645320958	1.3555839046463247	2.404657351941893	2.948941813798728
12	NM_001282730	SUPT7L	1.340439721354698	1.4164785894250411	1.5792705692957856	1.4562714457801327	1.8185265888067663
13	NM_004109	FDX1	2.010659582035924	2.183976569003545	1.0028992462586028	1.612249422440224	1.700346478927082
14	NM_004101	F2RL2	1.4435504691514087	2.0395743623733855	2.6417833803757746	2.6664125063481827	4.067228777603974
15	NM_007101	SARDH	1.0622352508873867	1.1392967446825897	0.7736651328254964	0.9274478282979268	0.6801385915685221
16	NM_007100	ATP5ME	2.582580529817064	2.543553090088755	3.0187401210574634	2.6664125063472337	4.641945887464824
17	NM_000485	APRT	1.728567043661228	1.8768548640008382	1.9229394500539976	1.8548956565874892	1.9191507545110835
18	NM_007108	ELOB	2.104822702952895	2.1302544713018388	1.402835018899831	1.64086923468258	2.574310574475636
19	NM_016643	ZNF771	0.5696868815778391	0.578036052007997	0.6174792139901025	0.8521524504859408	1.090871637130658
20	NM_001350532	SNX14	1.4002807803452701	0.9608220063768165	1.5789084343424296	2.2713884313334005	1.582217144601646
21	NM_001350530	MIER1	2.7021562636787966	2.247788974697641	3.3438069300047526	3.4089577612915085	4.236696643326181
22	NM_014177	TIMM21	1.8012158755694303	1.6265863162058354	1.0110396622152023	1.3938065374084758	2.550519718396115
23	NM_020992	PDLIM1	3.150033345176977	3.5089451395593656	3.86832566412156	2.039021328387846	3.9007948634159564
24	NM_005802	TOPORS	1.5584630495245497	1.3174116515117484	2.4968283832045426	2.0981606607336905	2.4261041223776703
25	NM_003824	FADD	1.669869822369016	1.6745714304610002	1.909679758233737	1.6362076743518743	2.260687932219237
26	NM_003825	SNAP23	3.3830145348540928	3.151683588056326	2.578883776080158	3.8370326310959495	3.4687068170102604
