AccNum	GeneName	TE0	TE1	TE2	TE3	TE4
NM_017847	ODR4	2.056404410640226	2.368537969216483	2.669689542847175	3.288575424501769	3.380688881644416
NM_001143986	TLE6	2.391167919352407	0.7895126564031476	2.5788837760788534	0.8888041687830393	1.4736336150684188
NM_001003803	ATP5S	2.886897853840456	3.780550989316779	5.281752349091658	6.455525015390439	5.224700998900716
NM_001003800	BICD2	0.7758415555805311	0.7977153853006318	0.7608064325552357	0.9706345809230773	1.1515370265005829
NM_016649	ESF1	4.5649569369383425	4.7370759384286405	15.86013522292289	7.702969462810866	5.7471710987772795
NM_016647	THEM6	0.759239448845941	1.1582410948336848	1.2894418880391494	1.6408692346733453	1.4736336150742095
NM_016644	PRR16	0.6437759782856851	0.8262341753059628	1.1902540504993493	0.8204346173404407	3.4384784351664277
NM_016640	MRPS30	1.4580292191109998	1.4701270153671353	1.204734026782867	1.3006890274869585	1.779366730232136
NM_003279	TNNC2	3.004691267071048	1.7720172954797895	1.7290243498720306	2.5064277559643355	3.22606277893453
NM_001304467	EEF1AKMT2	0.4571350434049195	0.8359545773674029	1.7407465488590923	0.8332539082349615	1.0717335382340785
NM_001080825	TMEM120B	2.5904319126244655	1.4120130201050447	1.7367992777687458	1.3998665658355367	1.9270593427863048
NM_001008781	FAT3	0.40122354525840553	0.38315949129734406	0.7381453562804787	1.1324308802711465	1.2924387681624265
NM_002223	ITPR2	0.7384489162698289	0.7208593819329204	2.3709092780120264	2.3997712557117317	2.9472672301327694
NM_001253384	RPL15	1.7689762668670062	1.4501252872692976	0.8951497404569629	0.9332443772234399	1.6495898676158558
NM_001145313	FSD1L	1.5941119462351772	0.9868908205031162	1.3652914108670333	1.1427482170084702	1.9648448200972943
NM_003363	USP4	3.9735584542069837	4.010098937972541	3.734935123973516	4.993463420960263	4.528727695101559
NM_207118	GTF2H5	2.9574971634125338	5.329210430727014	5.857750291405016	3.199695007624779	4.841939020948375
NM_001282735	SPATS2L	1.0925314342948502	1.07471645320958	1.3555839046463247	2.404657351941893	2.948941813798728
NM_001282730	SUPT7L	1.8453578508055712	1.4164785894250411	1.5792705692957856	1.4562714457801327	1.8185265888067663
NM_004109	FDX1	1.449963525562602	2.183976569003545	1.0028992462586028	1.612249422440224	1.700346478927082
NM_004101	F2RL2	0.8468719714364236	2.0395743623733855	2.6417833803757746	2.6664125063481827	4.067228777603974
NM_007101	SARDH	1.2487210245480065	1.1392967446825897	0.7736651328254964	0.9274478282979268	0.6801385915685221
NM_007100	ATP5ME	3.1882238924585478	2.543553090088755	3.0187401210574634	2.6664125063472337	4.641945887464824
